contact_id,contact_date,contact_ts,search_id,user_id,listing_id,seller_type,dealer_id,dealer_tier,listed_price_eur,is_featured,photo_count,price_position_vs_market,dealer_response_time_hours,lead_channel
cnt_000000000001,2023-08-02,2023-08-02T20:21:44,srch_000000000550,usr_000003398,lst_000005460,dealer,dlr_000160,small,36019.82,0,15,0.0563,10.61,call
cnt_000000000002,2023-08-02,2023-08-02T09:39:04,srch_000000000762,usr_000017153,lst_000030491,dealer,dlr_000273,small,36700.99,1,21,0.0106,9.81,chat
cnt_000000000003,2023-08-03,2023-08-03T16:53:01,srch_000000001179,usr_000008089,lst_000014151,dealer,dlr_000125,enterprise,6538.01,1,18,0.103,0.5,call
cnt_000000000004,2023-08-03,2023-08-03T16:29:47,srch_000000001362,usr_000021121,lst_000007020,dealer,dlr_000079,mid,5713.38,1,10,0.0322,9.83,message
cnt_000000000005,2023-08-05,2023-08-05T12:26:39,srch_000000002300,usr_000021258,lst_000018631,dealer,dlr_000097,mid,13048.75,1,15,-0.0422,7.71,message
cnt_000000000006,2023-08-06,2023-08-06T08:54:17,srch_000000002852,usr_000004507,lst_000007397,dealer,dlr_000062,small,5313.98,0,15,0.0953,5.34,message
cnt_000000000007,2023-08-06,2023-08-06T09:55:12,srch_000000003003,usr_000002212,lst_000014577,dealer,dlr_000277,mid,7452.75,0,15,0.0586,6.14,chat
cnt_000000000008,2023-08-07,2023-08-07T14:25:25,srch_000000003466,usr_000018768,lst_000000823,dealer,dlr_000247,mid,25959.57,1,15,0.1309,4.06,message
cnt_000000000009,2023-08-07,2023-08-07T17:44:39,srch_000000003476,usr_000019847,lst_000030651,dealer,dlr_000198,small,10763.02,0,20,0.0733,24.03,message
cnt_000000000010,2023-08-08,2023-08-08T12:20:33,srch_000000003544,usr_000007093,lst_000031178,private,,private,9231.29,0,15,0.0595,24.5,message
cnt_000000000011,2023-08-08,2023-08-08T13:24:21,srch_000000003761,usr_000009625,lst_000014010,dealer,dlr_000219,small,12205.15,1,20,0.0603,16.14,message
cnt_000000000012,2023-08-09,2023-08-09T10:19:41,srch_000000004039,usr_000003535,lst_000017081,dealer,dlr_000111,small,4683.42,0,15,0.1022,2.24,call
cnt_000000000013,2023-08-10,2023-08-10T09:45:26,srch_000000004871,usr_000000863,lst_000014103,dealer,dlr_000191,enterprise,11511.69,1,13,0.0316,8.24,call
cnt_000000000014,2023-08-12,2023-08-12T21:54:37,srch_000000005767,usr_000013216,lst_000007507,dealer,dlr_000088,mid,5302.39,1,15,0.0298,20.86,message
cnt_000000000015,2023-08-12,2023-08-12T17:23:20,srch_000000005795,usr_000008833,lst_000003641,private,,private,12389.85,0,9,0.0109,26.45,call
cnt_000000000016,2023-08-13,2023-08-13T20:26:23,srch_000000006077,usr_000018577,lst_000006479,dealer,dlr_000004,mid,17770.35,0,7,0.1038,8.77,chat
