sale_id,sale_date,contact_id,search_id,user_id,listing_id,seller_type,dealer_id,sale_price_eur,listed_price_eur,discount_pct,is_marketplace_facilitated
sal_000000000001,2023-08-22,cnt_000000000027,srch_000000008944,usr_000021366,lst_000014514,dealer,dlr_000144,16267.54,16339.74,0.0044,1
sal_000000000002,2023-09-01,cnt_000000000033,srch_000000010841,usr_000017374,lst_000031746,dealer,dlr_000079,3655.8,3900.65,0.0628,1
sal_000000000003,2023-09-01,cnt_000000000051,srch_000000015090,usr_000018239,lst_000008026,dealer,dlr_000172,14007.65,14741.21,0.0498,1
sal_000000000004,2023-09-08,cnt_000000000060,srch_000000017136,usr_000004127,lst_000016125,dealer,dlr_000242,5689.33,5739.28,0.0087,0
sal_000000000005,2023-09-22,cnt_000000000075,srch_000000022447,usr_000018239,lst_000016125,dealer,dlr_000242,5612.41,5739.28,0.0221,1
sal_000000000006,2023-10-23,cnt_000000000141,srch_000000040135,usr_000016161,lst_000030074,private,,24893.68,25046.69,0.0061,0
sal_000000000007,2023-11-06,cnt_000000000149,srch_000000043666,usr_000003367,lst_000028174,private,,10758.93,11289.41,0.047,0
sal_000000000008,2023-11-03,cnt_000000000153,srch_000000044980,usr_000010902,lst_000029235,dealer,dlr_000089,3116.96,3213.67,0.0301,0
sal_000000000009,2023-11-20,cnt_000000000191,srch_000000053116,usr_000009013,lst_000027736,dealer,dlr_000151,10600.17,10825.67,0.0208,1
sal_000000000010,2023-12-02,cnt_000000000217,srch_000000059208,usr_000019720,lst_000013556,dealer,dlr_000119,6721.32,6875.6,0.0224,1
sal_000000000011,2023-12-06,cnt_000000000224,srch_000000061104,usr_000006311,lst_000001279,dealer,dlr_000021,12782.74,13213.71,0.0326,0
sal_000000000012,2023-12-10,cnt_000000000225,srch_000000061319,usr_000021057,lst_000013028,dealer,dlr_000181,7209.34,7669.93,0.0601,0
sal_000000000013,2023-12-13,cnt_000000000237,srch_000000063730,usr_000011517,lst_000013696,dealer,dlr_000133,7529.24,7862.06,0.0423,0
sal_000000000014,2023-12-17,cnt_000000000242,srch_000000064884,usr_000004081,lst_000014413,private,,7186.84,7326.61,0.0191,0
sal_000000000015,2023-12-27,cnt_000000000260,srch_000000071072,usr_000009524,lst_000010373,dealer,dlr_000081,3838.41,3995.23,0.0393,0
sal_000000000016,2023-12-31,cnt_000000000267,srch_000000073348,usr_000004446,lst_000021481,dealer,dlr_000182,4587.48,4892.15,0.0623,0
sal_000000000017,2024-01-14,cnt_000000000287,srch_000000079711,usr_000015527,lst_000001658,dealer,dlr_000168,16932.43,18207.32,0.07,0
sal_000000000018,2024-01-26,cnt_000000000300,srch_000000084837,usr_000019977,lst_000017854,dealer,dlr_000278,31187.26,31448.84,0.0083,0
sal_000000000019,2024-01-26,cnt_000000000310,srch_000000086291,usr_000004369,lst_000002792,dealer,dlr_000049,20740.71,20740.71,0.0,1
sal_000000000020,2024-02-01,cnt_000000000325,srch_000000089602,usr_000011238,lst_000003177,private,,19312.2,20116.29,0.04,0
sal_000000000021,2024-02-02,cnt_000000000329,srch_000000090417,usr_000005077,lst_000019517,dealer,dlr_000012,3792.99,3932.62,0.0355,0
sal_000000000022,2024-02-07,cnt_000000000336,srch_000000091299,usr_000011453,lst_000022014,dealer,dlr_000077,10989.31,11521.12,0.0462,1
sal_000000000023,2024-02-14,cnt_000000000362,srch_000000096196,usr_000016186,lst_000006942,dealer,dlr_000122,15212.47,15626.44,0.0265,0
sal_000000000024,2024-02-17,cnt_000000000364,srch_000000097420,usr_000002166,lst_000001737,dealer,dlr_000142,24022.2,24442.25,0.0172,0
sal_000000000025,2024-02-27,cnt_000000000370,srch_000000101665,usr_000006483,lst_000027752,private,,29671.68,30265.91,0.0196,0
sal_000000000026,2024-03-27,cnt_000000000418,srch_000000114733,usr_000017992,lst_000021049,dealer,dlr_000103,24660.69,25504.71,0.0331,0
sal_000000000027,2024-03-26,cnt_000000000419,srch_000000115315,usr_000000916,lst_000008168,dealer,dlr_000142,27788.47,28670.66,0.0308,0
sal_000000000028,2024-03-30,cnt_000000000432,srch_000000117618,usr_000013615,lst_000012846,dealer,dlr_000217,7963.7,8267.14,0.0367,1
sal_000000000029,2024-04-07,cnt_000000000440,srch_000000120554,usr_000010891,lst_000010812,dealer,dlr_000194,2979.63,3020.23,0.0134,1
sal_000000000030,2024-04-05,cnt_000000000441,srch_000000120623,usr_000006081,lst_000024428,dealer,dlr_000244,5473.89,5642.11,0.0298,0
sal_000000000031,2024-04-16,cnt_000000000458,srch_000000125282,usr_000017968,lst_000005573,dealer,dlr_000052,5040.42,5185.65,0.028,0
sal_000000000032,2024-04-17,cnt_000000000460,srch_000000126499,usr_000018430,lst_000026177,dealer,dlr_000168,18733.08,18733.08,0.0,0
sal_000000000033,2024-04-19,cnt_000000000462,srch_000000126782,usr_000010698,lst_000026939,dealer,dlr_000040,14441.15,14441.15,0.0,0
sal_000000000034,2024-05-08,cnt_000000000466,srch_000000129022,usr_000002385,lst_000025795,dealer,dlr_000103,12002.37,12068.77,0.0055,0
sal_000000000035,2024-04-23,cnt_000000000468,srch_000000129363,usr_000006603,lst_000017253,private,,8173.2,8182.47,0.0011,0
sal_000000000036,2024-04-28,cnt_000000000478,srch_000000131510,usr_000019879,lst_000009967,dealer,dlr_000266,37247.45,38080.38,0.0219,1
sal_000000000037,2024-05-06,cnt_000000000480,srch_000000131797,usr_000010323,lst_000017149,dealer,dlr_000027,8354.82,8493.08,0.0163,1
sal_000000000038,2024-04-30,cnt_000000000487,srch_000000132582,usr_000009371,lst_000002617,dealer,dlr_000187,22716.88,22974.42,0.0112,0
sal_000000000039,2024-05-13,cnt_000000000511,srch_000000137997,usr_000011641,lst_000020234,private,,2546.02,2566.25,0.0079,0
sal_000000000040,2024-05-15,cnt_000000000512,srch_000000139420,usr_000008319,lst_000012451,dealer,dlr_000193,28412.0,30084.17,0.0556,0
sal_000000000041,2024-05-28,cnt_000000000535,srch_000000147087,usr_000013832,lst_000010628,dealer,dlr_000163,3487.49,3668.81,0.0494,1
sal_000000000042,2024-05-29,cnt_000000000537,srch_000000147369,usr_000011692,lst_000021948,dealer,dlr_000122,4119.76,4139.77,0.0048,0
sal_000000000043,2024-06-03,cnt_000000000553,srch_000000150438,usr_000016649,lst_000022066,dealer,dlr_000119,13024.16,13308.94,0.0214,1
sal_000000000044,2024-06-26,cnt_000000000585,srch_000000160234,usr_000010882,lst_000014594,private,,8033.3,8520.04,0.0571,0
sal_000000000045,2024-06-26,cnt_000000000589,srch_000000160847,usr_000015360,lst_000005723,dealer,dlr_000016,10374.07,10919.3,0.0499,1
sal_000000000046,2024-07-17,cnt_000000000634,srch_000000171847,usr_000017543,lst_000017152,dealer,dlr_000172,3718.29,3727.55,0.0025,0
sal_000000000047,2024-07-23,cnt_000000000642,srch_000000174545,usr_000008496,lst_000002463,dealer,dlr_000232,16380.44,16455.54,0.0046,1
sal_000000000048,2024-08-01,cnt_000000000657,srch_000000179086,usr_000018887,lst_000016748,dealer,dlr_000095,11949.01,12125.02,0.0145,0
sal_000000000049,2024-08-16,cnt_000000000664,srch_000000180527,usr_000012329,lst_000000210,dealer,dlr_000264,15421.34,16168.0,0.0462,1
sal_000000000050,2024-08-14,cnt_000000000673,srch_000000183519,usr_000019623,lst_000017866,dealer,dlr_000238,1918.49,2020.23,0.0504,1
sal_000000000051,2024-08-12,cnt_000000000675,srch_000000183975,usr_000014433,lst_000027135,dealer,dlr_000076,3720.73,3905.96,0.0474,0
sal_000000000052,2024-08-17,cnt_000000000687,srch_000000187230,usr_000019066,lst_000014012,dealer,dlr_000081,4018.13,4212.48,0.0461,0
sal_000000000053,2024-09-01,cnt_000000000719,srch_000000194523,usr_000010043,lst_000021697,dealer,dlr_000098,5716.24,5976.74,0.0436,0
sal_000000000054,2024-09-05,cnt_000000000726,srch_000000196221,usr_000006964,lst_000020685,dealer,dlr_000107,29442.38,31115.28,0.0538,0
sal_000000000055,2024-09-04,cnt_000000000730,srch_000000197425,usr_000020382,lst_000028216,dealer,dlr_000076,10733.55,11244.0,0.0454,0
sal_000000000056,2024-09-13,cnt_000000000736,srch_000000199177,usr_000008699,lst_000000969,dealer,dlr_000265,6256.72,6634.65,0.057,0
sal_000000000057,2024-09-08,cnt_000000000738,srch_000000199422,usr_000007670,lst_000002653,dealer,dlr_000202,23258.57,24795.83,0.062,0
sal_000000000058,2024-09-13,cnt_000000000743,srch_000000200675,usr_000000589,lst_000000808,dealer,dlr_000261,3926.85,4096.89,0.0415,1
sal_000000000059,2024-09-15,cnt_000000000745,srch_000000201167,usr_000001144,lst_000028817,private,,8505.72,8514.27,0.001,0
sal_000000000060,2024-09-18,cnt_000000000755,srch_000000203308,usr_000005669,lst_000025956,dealer,dlr_000163,5835.99,6046.55,0.0348,0
sal_000000000061,2024-09-24,cnt_000000000762,srch_000000205748,usr_000020116,lst_000004034,dealer,dlr_000192,24805.58,24852.23,0.0019,1
sal_000000000062,2024-09-24,cnt_000000000763,srch_000000206011,usr_000009965,lst_000001591,dealer,dlr_000075,3326.45,3410.95,0.0248,0
sal_000000000063,2024-10-07,cnt_000000000781,srch_000000210329,usr_000017674,lst_000021084,dealer,dlr_000207,30511.32,31441.91,0.0296,0
sal_000000000064,2024-10-05,cnt_000000000789,srch_000000211683,usr_000001524,lst_000028285,dealer,dlr_000182,8285.86,8648.63,0.0419,1
sal_000000000065,2024-10-15,cnt_000000000810,srch_000000216615,usr_000014732,lst_000014535,dealer,dlr_000245,24001.12,24001.12,0.0,1
sal_000000000066,2024-10-19,cnt_000000000814,srch_000000217779,usr_000003888,lst_000026582,dealer,dlr_000262,21389.93,22739.86,0.0594,0
sal_000000000067,2024-10-17,cnt_000000000816,srch_000000218107,usr_000001987,lst_000029812,dealer,dlr_000118,20068.7,20353.02,0.014,0
sal_000000000068,2024-10-25,cnt_000000000824,srch_000000219694,usr_000017237,lst_000031973,dealer,dlr_000083,4594.04,4731.97,0.0291,0
sal_000000000069,2024-10-22,cnt_000000000826,srch_000000220702,usr_000003260,lst_000010789,dealer,dlr_000163,9326.6,9514.69,0.0198,0
sal_000000000070,2024-11-08,cnt_000000000846,srch_000000227146,usr_000007547,lst_000005196,dealer,dlr_000163,10341.11,10341.11,0.0,0
sal_000000000071,2024-11-09,cnt_000000000853,srch_000000228938,usr_000013324,lst_000026030,dealer,dlr_000133,8536.4,8536.4,0.0,1
sal_000000000072,2024-11-11,cnt_000000000857,srch_000000229605,usr_000019706,lst_000024210,dealer,dlr_000209,4392.18,4395.11,0.0007,1
sal_000000000073,2024-11-15,cnt_000000000867,srch_000000232134,usr_000011121,lst_000003902,dealer,dlr_000077,6735.09,6942.11,0.0298,0
sal_000000000074,2024-11-21,cnt_000000000880,srch_000000234807,usr_000019496,lst_000001637,dealer,dlr_000236,6020.71,6294.34,0.0435,0
sal_000000000075,2024-11-25,cnt_000000000889,srch_000000236467,usr_000020047,lst_000003223,dealer,dlr_000058,2321.08,2408.9,0.0365,0
sal_000000000076,2024-12-01,cnt_000000000896,srch_000000238521,usr_000017747,lst_000026060,dealer,dlr_000024,12726.7,12896.69,0.0132,1
sal_000000000077,2024-12-04,cnt_000000000906,srch_000000240859,usr_000018089,lst_000004683,dealer,dlr_000148,8809.83,9144.57,0.0366,0
sal_000000000078,2024-12-08,cnt_000000000913,srch_000000242661,usr_000011423,lst_000030989,dealer,dlr_000208,6483.41,6659.14,0.0264,0
sal_000000000079,2024-12-10,cnt_000000000916,srch_000000243123,usr_000007501,lst_000021118,dealer,dlr_000279,5835.84,5980.87,0.0242,0
sal_000000000080,2024-12-12,cnt_000000000923,srch_000000244645,usr_000015575,lst_000022723,dealer,dlr_000199,11608.73,11727.39,0.0101,1
sal_000000000081,2024-12-24,cnt_000000000941,srch_000000248395,usr_000002391,lst_000021808,private,,6305.12,6305.12,0.0,1
sal_000000000082,2024-12-23,cnt_000000000947,srch_000000249831,usr_000008368,lst_000005672,dealer,dlr_000066,11114.01,11382.34,0.0236,0
sal_000000000083,2024-12-27,cnt_000000000953,srch_000000251275,usr_000014004,lst_000029247,private,,14197.82,14577.62,0.0261,0
