month_key,geo,device,user_type,seller_type,dealer_tier,searches,contacts,sales,search_to_contact_rate,contact_to_sale_rate,search_to_sale_rate
2023-09,NL,tablet,new,dealer,enterprise,3,0,0,0.0,0.0,0.0
2024-01,ES,mobile,new,dealer,mid,126,3,0,0.023809523809523808,0.0,0.0
2024-02,PL,mobile,new,dealer,mid,79,0,0,0.0,0.0,0.0
2024-03,RO,tablet,returning,private,unknown,6,0,0,0.0,0.0,0.0
2024-08,PL,mobile,new,dealer,mid,75,0,0,0.0,0.0,0.0
2025-02,NL,tablet,new,dealer,enterprise,2,0,0,0.0,0.0,0.0
2025-04,SE,desktop,new,dealer,mid,20,0,0,0.0,0.0,0.0
2025-11,IT,desktop,returning,private,unknown,28,0,0,0.0,0.0,0.0
2023-12,CH,mobile,returning,dealer,small,75,0,0,0.0,0.0,0.0
2023-12,BE,mobile,returning,private,unknown,39,0,0,0.0,0.0,0.0
2024-02,FR,tablet,returning,private,unknown,11,0,0,0.0,0.0,0.0
2024-12,PL,tablet,new,private,unknown,3,0,0,0.0,0.0,0.0
2025-04,PL,mobile,new,dealer,enterprise,16,0,0,0.0,0.0,0.0
2025-05,SE,mobile,returning,private,unknown,39,0,0,0.0,0.0,0.0
2025-12,PL,tablet,new,dealer,small,16,0,0,0.0,0.0,0.0
2023-10,ES,mobile,returning,private,unknown,69,0,0,0.0,0.0,0.0
2024-01,RO,mobile,new,dealer,small,154,1,0,0.006493506493506494,0.0,0.0
2024-06,DK,desktop,returning,dealer,small,35,0,0,0.0,0.0,0.0
2024-07,DE,tablet,returning,dealer,small,46,0,0,0.0,0.0,0.0
2024-10,CH,tablet,new,dealer,small,5,0,0,0.0,0.0,0.0
2024-12,BE,desktop,new,private,unknown,16,0,0,0.0,0.0,0.0
2026-01,AT,tablet,new,dealer,enterprise,2,0,0,0.0,0.0,0.0
2023-09,IT,mobile,returning,private,unknown,76,0,0,0.0,0.0,0.0
2024-01,PL,desktop,returning,dealer,small,99,0,0,0.0,0.0,0.0
2024-08,CH,tablet,returning,dealer,enterprise,1,0,0,0.0,0.0,0.0
2024-10,RO,tablet,returning,private,unknown,3,0,0,0.0,0.0,0.0
2024-11,ES,desktop,returning,private,unknown,36,0,0,0.0,0.0,0.0
2025-04,DK,tablet,new,dealer,enterprise,2,0,0,0.0,0.0,0.0
2025-10,DK,tablet,returning,dealer,enterprise,2,0,0,0.0,0.0,0.0
2025-12,AT,mobile,returning,dealer,small,160,1,0,0.00625,0.0,0.0
2023-12,NL,mobile,new,dealer,mid,72,0,0,0.0,0.0,0.0
2024-02,DK,mobile,new,dealer,mid,26,0,0,0.0,0.0,0.0
2024-03,ES,mobile,returning,dealer,enterprise,53,0,0,0.0,0.0,0.0
2025-01,BE,desktop,new,dealer,mid,34,0,0,0.0,0.0,0.0
2025-04,BE,mobile,returning,dealer,small,122,0,0,0.0,0.0,0.0
2025-04,NL,desktop,returning,private,unknown,21,0,0,0.0,0.0,0.0
2025-09,IT,desktop,returning,dealer,enterprise,12,0,0,0.0,0.0,0.0
2025-10,DE,tablet,returning,dealer,mid,14,0,0,0.0,0.0,0.0
2025-10,FR,desktop,new,dealer,enterprise,21,0,0,0.0,0.0,0.0
2026-01,SE,tablet,new,dealer,enterprise,2,0,0,0.0,0.0,0.0
2026-01,DK,tablet,returning,dealer,mid,1,0,0,0.0,0.0,0.0
2023-10,SE,tablet,returning,private,unknown,2,0,0,0.0,0.0,0.0
2024-01,NL,tablet,returning,private,unknown,1,0,0,0.0,0.0,0.0
2024-03,IT,mobile,returning,dealer,mid,184,3,0,0.016304347826086956,0.0,0.0
2024-05,AT,desktop,new,private,unknown,10,0,0,0.0,0.0,0.0
2024-08,RO,tablet,new,dealer,small,9,0,0,0.0,0.0,0.0
2024-10,BE,desktop,returning,dealer,enterprise,4,0,0,0.0,0.0,0.0
2025-01,BE,tablet,returning,dealer,small,9,0,0,0.0,0.0,0.0
2025-03,PL,mobile,new,dealer,enterprise,31,0,0,0.0,0.0,0.0
2025-05,ES,desktop,new,private,unknown,31,0,0,0.0,0.0,0.0
2025-06,CH,desktop,new,dealer,small,19,0,0,0.0,0.0,0.0
2025-06,NL,desktop,returning,dealer,enterprise,11,0,0,0.0,0.0,0.0
2025-08,CH,desktop,returning,dealer,small,35,1,0,0.02857142857142857,0.0,0.0
2023-10,FR,desktop,new,private,unknown,28,1,1,0.03571428571428571,1.0,0.03571428571428571
2023-10,RO,tablet,returning,dealer,small,7,0,0,0.0,0.0,0.0
2024-01,DE,tablet,returning,dealer,mid,10,0,0,0.0,0.0,0.0
2024-01,ES,tablet,returning,dealer,enterprise,2,0,0,0.0,0.0,0.0
2025-02,CH,mobile,new,dealer,small,80,0,0,0.0,0.0,0.0
2025-06,CH,desktop,new,dealer,mid,11,0,0,0.0,0.0,0.0
2024-05,NL,desktop,returning,dealer,small,83,1,0,0.012048192771084338,0.0,0.0
2024-06,DK,mobile,returning,dealer,small,101,0,0,0.0,0.0,0.0
2024-11,BE,mobile,new,private,unknown,29,1,0,0.034482758620689655,0.0,0.0
2024-11,AT,tablet,new,dealer,mid,3,0,0,0.0,0.0,0.0
2025-02,CH,tablet,new,dealer,mid,5,0,0,0.0,0.0,0.0
2025-12,AT,desktop,new,private,unknown,18,0,0,0.0,0.0,0.0
2023-08,FR,tablet,returning,dealer,enterprise,4,0,0,0.0,0.0,0.0
2023-09,AT,desktop,new,dealer,enterprise,9,0,0,0.0,0.0,0.0
2024-03,DE,mobile,returning,private,unknown,174,0,0,0.0,0.0,0.0
2024-04,BE,tablet,returning,dealer,mid,1,0,0,0.0,0.0,0.0
2024-07,BE,mobile,returning,private,unknown,34,1,0,0.029411764705882353,0.0,0.0
2024-09,DE,desktop,returning,dealer,enterprise,26,1,0,0.038461538461538464,0.0,0.0
2024-10,SE,desktop,returning,private,unknown,17,0,0,0.0,0.0,0.0
2024-12,AT,desktop,returning,dealer,mid,30,0,0,0.0,0.0,0.0
2025-02,CH,mobile,returning,dealer,small,81,1,0,0.012345679012345678,0.0,0.0
2025-04,DK,mobile,new,dealer,enterprise,8,0,0,0.0,0.0,0.0
2025-05,IT,tablet,new,dealer,mid,5,0,0,0.0,0.0,0.0
2025-11,AT,mobile,new,dealer,enterprise,28,0,0,0.0,0.0,0.0
2023-11,CH,mobile,returning,dealer,mid,40,0,0,0.0,0.0,0.0
2023-11,RO,tablet,returning,private,unknown,3,0,0,0.0,0.0,0.0
2024-03,ES,mobile,new,private,unknown,73,0,0,0.0,0.0,0.0
2024-09,ES,tablet,new,dealer,mid,7,0,0,0.0,0.0,0.0
2024-11,SE,mobile,returning,private,unknown,23,0,0,0.0,0.0,0.0
2024-09,FR,tablet,new,dealer,mid,4,0,0,0.0,0.0,0.0
2024-12,DE,desktop,new,dealer,small,259,2,0,0.007722007722007722,0.0,0.0
2024-12,CH,desktop,new,private,unknown,10,0,0,0.0,0.0,0.0
2025-06,PL,mobile,returning,private,unknown,86,1,0,0.011627906976744186,0.0,0.0
2026-01,BE,mobile,returning,private,unknown,32,0,0,0.0,0.0,0.0
2023-09,RO,tablet,new,dealer,mid,5,0,0,0.0,0.0,0.0
2024-03,DK,desktop,returning,dealer,mid,15,0,0,0.0,0.0,0.0
2024-03,BE,desktop,new,dealer,enterprise,11,0,0,0.0,0.0,0.0
2024-05,RO,tablet,returning,dealer,enterprise,3,0,0,0.0,0.0,0.0
2024-08,FR,desktop,new,dealer,enterprise,19,0,0,0.0,0.0,0.0
2024-09,SE,mobile,returning,dealer,small,104,0,0,0.0,0.0,0.0
2024-09,AT,tablet,returning,dealer,mid,5,0,0,0.0,0.0,0.0
2024-12,CH,mobile,new,dealer,small,76,0,0,0.0,0.0,0.0
2025-07,DE,desktop,new,dealer,mid,105,0,0,0.0,0.0,0.0
2025-07,FR,tablet,new,dealer,enterprise,2,0,0,0.0,0.0,0.0
2025-08,NL,desktop,returning,dealer,enterprise,10,0,0,0.0,0.0,0.0
2025-12,AT,tablet,new,dealer,enterprise,1,0,0,0.0,0.0,0.0
2023-09,NL,desktop,new,dealer,small,82,1,0,0.012195121951219513,0.0,0.0
2024-04,ES,tablet,returning,dealer,enterprise,1,0,0,0.0,0.0,0.0
2024-06,SE,tablet,returning,private,unknown,3,0,0,0.0,0.0,0.0
2024-07,PL,desktop,returning,private,unknown,32,0,0,0.0,0.0,0.0
2025-01,SE,tablet,new,dealer,small,8,0,0,0.0,0.0,0.0
2025-03,DK,tablet,returning,dealer,mid,2,0,0,0.0,0.0,0.0
2025-10,AT,mobile,new,private,unknown,43,1,0,0.023255813953488372,0.0,0.0
2025-11,CH,desktop,returning,private,unknown,10,0,0,0.0,0.0,0.0
2023-09,BE,mobile,new,private,unknown,29,0,0,0.0,0.0,0.0
2024-02,FR,mobile,returning,private,unknown,132,1,0,0.007575757575757576,0.0,0.0
2024-05,NL,mobile,returning,dealer,enterprise,30,0,0,0.0,0.0,0.0
2025-04,SE,mobile,returning,dealer,enterprise,13,0,0,0.0,0.0,0.0
2025-05,DE,tablet,returning,dealer,mid,11,0,0,0.0,0.0,0.0
2025-09,RO,tablet,new,dealer,enterprise,1,0,0,0.0,0.0,0.0
2025-12,FR,desktop,returning,dealer,mid,74,1,0,0.013513513513513514,0.0,0.0
2023-12,DK,desktop,returning,dealer,small,31,0,0,0.0,0.0,0.0
2024-02,RO,tablet,returning,dealer,small,9,0,0,0.0,0.0,0.0
2024-08,BE,mobile,new,dealer,small,141,0,0,0.0,0.0,0.0
2025-09,SE,desktop,returning,dealer,small,51,0,0,0.0,0.0,0.0
2023-08,DE,mobile,returning,dealer,enterprise,90,0,0,0.0,0.0,0.0
2023-12,CH,mobile,new,private,unknown,29,0,0,0.0,0.0,0.0
2024-01,IT,mobile,new,dealer,enterprise,44,0,0,0.0,0.0,0.0
2024-05,RO,mobile,new,dealer,small,143,0,0,0.0,0.0,0.0
2024-12,IT,tablet,new,private,unknown,6,0,0,0.0,0.0,0.0
2025-02,DK,mobile,new,private,unknown,20,0,0,0.0,0.0,0.0
2025-08,CH,tablet,new,dealer,enterprise,3,0,0,0.0,0.0,0.0
2025-09,FR,desktop,returning,dealer,small,163,0,0,0.0,0.0,0.0
2025-12,CH,desktop,returning,private,unknown,10,0,0,0.0,0.0,0.0
2026-01,DE,desktop,new,dealer,small,253,0,0,0.0,0.0,0.0
2023-10,RO,mobile,returning,dealer,enterprise,15,0,0,0.0,0.0,0.0
2023-11,FR,desktop,new,dealer,small,126,0,0,0.0,0.0,0.0
2024-01,IT,desktop,returning,dealer,mid,75,0,0,0.0,0.0,0.0
2024-01,CH,desktop,returning,dealer,mid,16,0,0,0.0,0.0,0.0
2024-02,PL,tablet,returning,private,unknown,1,0,0,0.0,0.0,0.0
2024-05,CH,mobile,returning,dealer,mid,59,0,0,0.0,0.0,0.0
2024-07,NL,mobile,new,dealer,mid,98,0,0,0.0,0.0,0.0
2024-09,DE,tablet,returning,dealer,mid,25,0,0,0.0,0.0,0.0
