dealer_id,dealer_tier,dealer_geo,is_subscribed,avg_response_time_hours,dealer_close_skill,price_elasticity_index
dlr_000000,mid,FR,1,14.65,-1.071,1.049
dlr_000001,small,DE,1,12.97,-1.403,1.233
dlr_000002,small,DE,0,11.56,-0.633,1.288
dlr_000003,small,RO,0,15.6,-0.848,1.204
dlr_000004,mid,DE,1,8.77,1.359,1.244
dlr_000005,mid,FR,1,11.59,-0.611,1.094
dlr_000006,mid,FR,0,12.17,-0.033,1.268
dlr_000007,small,DE,1,13.04,0.229,1.432
dlr_000008,small,BE,1,19.96,0.721,1.164
dlr_000009,small,PL,0,19.36,-1.176,1.032
dlr_000010,small,DE,1,2.57,1.998,1.357
dlr_000011,small,IT,0,13.66,1.262,1.211
dlr_000012,mid,DE,1,5.44,0.511,1.114
dlr_000013,mid,FR,1,8.96,0.555,1.015
dlr_000014,small,AT,0,7.61,-1.583,1.347
dlr_000015,small,ES,0,17.89,0.161,1.031
dlr_000016,small,DK,1,16.94,0.061,1.402
dlr_000017,mid,RO,1,7.95,1.486,1.067
dlr_000018,small,DE,0,5.25,-1.392,1.225
dlr_000019,mid,ES,1,10.44,-1.181,1.232
dlr_000020,small,IT,0,3.98,0.27,1.066
dlr_000021,mid,NL,1,11.59,-0.518,0.685
dlr_000022,small,PL,1,4.64,2.473,1.15
dlr_000023,mid,NL,1,10.72,-0.802,1.073
dlr_000024,mid,IT,1,8.64,1.542,1.132
dlr_000025,small,DE,0,7.05,-2.177,1.43
dlr_000026,mid,PL,1,11.72,0.683,1.246
dlr_000027,small,BE,1,7.66,1.269,1.304
dlr_000028,small,SE,1,1.6,-1.58,1.345
dlr_000029,mid,ES,1,10.33,-2.266,0.859
dlr_000030,small,IT,1,12.92,-2.5,1.339
dlr_000031,small,DE,1,6.68,0.156,1.343
dlr_000032,small,NL,0,12.07,-0.349,1.353
dlr_000033,mid,AT,1,18.24,0.031,0.802
dlr_000034,small,DE,1,7.91,1.45,1.231
dlr_000035,small,BE,1,18.22,-0.004,1.358
dlr_000036,small,DE,0,11.28,-0.225,0.928
dlr_000037,small,NL,1,15.59,-0.816,1.218
dlr_000038,small,FR,1,1.68,1.136,1.163
dlr_000039,small,ES,0,9.65,0.287,1.297
dlr_000040,small,DE,1,2.83,-0.464,1.242
dlr_000041,small,DE,1,16.14,0.743,1.16
dlr_000042,small,ES,1,2.33,-0.734,1.137
dlr_000043,enterprise,DE,1,8.79,-0.633,0.884
dlr_000044,small,DE,1,8.07,0.301,1.083
dlr_000045,small,BE,1,13.97,-1.247,1.221
dlr_000046,mid,FR,1,12.38,-1.277,0.943
dlr_000047,small,IT,1,8.86,-0.15,1.254
dlr_000048,mid,SE,1,16.61,0.159,0.87
dlr_000049,small,NL,1,12.75,-0.42,1.21
dlr_000050,mid,IT,1,9.01,-0.233,1.02
dlr_000051,small,AT,1,11.44,0.562,1.403
dlr_000052,mid,CH,1,12.88,-0.833,1.14
dlr_000053,mid,NL,1,10.32,-2.268,1.333
dlr_000054,mid,PL,1,15.01,0.947,1.061
dlr_000055,small,DK,1,3.9,-1.467,1.334
dlr_000056,small,DE,0,7.99,-0.926,1.097
dlr_000057,small,NL,0,4.27,-1.666,1.485
dlr_000058,mid,IT,0,21.47,0.252,1.286
dlr_000059,mid,PL,1,9.7,0.558,1.055
dlr_000060,mid,RO,1,12.29,1.484,1.181
dlr_000061,small,DE,1,12.88,1.544,1.216
dlr_000062,small,BE,1,5.34,1.209,1.136
dlr_000063,small,BE,1,8.35,0.078,1.246
dlr_000064,small,AT,1,10.56,0.305,1.379
dlr_000065,small,DE,1,5.02,0.2,1.311
dlr_000066,small,FR,1,11.32,-0.315,1.276
dlr_000067,small,AT,0,13.91,0.683,1.51
dlr_000068,small,PL,1,20.48,0.228,1.306
dlr_000069,mid,RO,0,11.43,-0.437,1.347
dlr_000070,small,FR,1,13.79,0.78,1.373
dlr_000071,mid,AT,1,7.75,0.082,1.143
dlr_000072,small,DE,1,4.69,0.409,1.367
dlr_000073,mid,BE,0,13.13,-0.735,0.968
dlr_000074,small,FR,1,12.74,-2.5,1.174
dlr_000075,small,PL,1,8.63,0.18,1.242
dlr_000076,enterprise,RO,1,2.75,-1.48,1.164
dlr_000077,small,FR,0,10.73,1.133,1.287
dlr_000078,small,PL,1,13.28,-0.409,1.182
dlr_000079,mid,FR,1,9.83,-1.302,1.188
dlr_000080,small,IT,0,18.6,-0.648,1.289
dlr_000081,enterprise,SE,1,4.0,-0.122,0.845
dlr_000082,small,RO,0,2.78,1.072,1.143
dlr_000083,small,RO,1,12.18,1.242,1.068
dlr_000084,small,ES,1,8.32,0.039,1.365
dlr_000085,small,DE,1,7.82,-0.638,1.167
dlr_000086,small,ES,1,5.57,0.461,1.024
dlr_000087,small,IT,1,10.09,-0.469,1.413
dlr_000088,mid,ES,1,20.86,1.212,0.957
dlr_000089,enterprise,FR,1,9.06,-0.945,0.865
dlr_000090,small,RO,1,9.17,1.965,1.179
dlr_000091,small,DE,0,13.24,0.331,1.506
dlr_000092,enterprise,RO,1,5.53,-0.382,0.787
dlr_000093,small,BE,0,5.85,0.942,1.441
dlr_000094,small,IT,1,14.21,0.56,1.483
dlr_000095,small,RO,0,13.31,0.69,1.28
dlr_000096,mid,DE,0,10.89,0.416,0.932
dlr_000097,mid,FR,1,7.71,0.327,0.768
dlr_000098,small,FR,1,7.04,1.159,1.286
dlr_000099,mid,SE,1,4.16,-0.582,1.292
dlr_000100,mid,DK,1,7.46,1.067,0.942
dlr_000101,small,DE,0,7.75,-0.431,1.426
dlr_000102,mid,AT,1,15.53,0.659,0.989
dlr_000103,enterprise,PL,1,0.5,1.53,0.99
dlr_000104,small,DE,0,3.17,1.202,1.429
dlr_000105,small,AT,1,16.23,-0.129,1.241
dlr_000106,mid,FR,1,14.34,-1.65,1.166
dlr_000107,small,ES,1,2.31,0.88,1.257
dlr_000108,small,FR,1,6.72,-1.024,1.153
dlr_000109,small,NL,1,2.39,0.229,0.973
dlr_000110,enterprise,NL,1,4.27,-0.392,0.607
dlr_000111,small,DE,0,2.24,0.826,1.086
dlr_000112,mid,SE,1,11.15,-0.756,1.314
dlr_000113,small,DE,0,13.85,-1.183,1.287
dlr_000114,small,DE,1,9.07,-2.102,1.276
dlr_000115,small,FR,0,16.51,0.247,1.243
dlr_000116,small,DE,0,15.51,-0.371,1.105
dlr_000117,small,FR,1,3.95,-0.721,1.247
dlr_000118,small,SE,1,1.46,-0.12,1.083
dlr_000119,mid,FR,1,11.21,0.311,1.126
