listing_id,seller_type,dealer_id,make,fuel_type,transmission,vehicle_year,vehicle_age_years,mileage_km,listed_price_eur,base_market_price_eur,price_position_vs_market,photo_count,description_length,is_featured,listing_created_date,listing_delisted_date,is_active
lst_000000000,private,,VW,petrol,manual,2019,7,98514,14722.58,14539.95,0.0126,10,632,0,2025-04-22,2025-05-23,0
lst_000000001,dealer,dlr_000125,Renault,petrol,automatic,2022,4,90017,15896.22,15437.23,0.0297,16,843,0,2025-02-13,2025-03-14,0
lst_000000002,dealer,dlr_000092,Hyundai,petrol,manual,2015,11,202270,6470.58,6320.1,0.0238,16,731,0,2023-12-03,2023-12-27,0
lst_000000003,dealer,dlr_000023,Ford,petrol,automatic,2014,12,233383,6335.83,5840.22,0.0849,10,555,1,2025-02-27,2025-03-14,0
lst_000000004,dealer,dlr_000099,Fiat,petrol,manual,2012,14,249149,4483.02,4967.66,-0.0976,9,514,1,2023-08-17,2023-09-02,0
lst_000000005,dealer,dlr_000275,Mercedes,petrol,manual,2023,3,28363,29199.66,27511.24,0.0614,16,128,0,2025-07-08,2025-07-24,0
lst_000000006,dealer,dlr_000091,BMW,electric,automatic,2019,7,124414,16378.73,16011.28,0.0229,14,891,0,2024-12-29,2025-01-25,0
lst_000000007,dealer,dlr_000049,Skoda,diesel,manual,2016,10,211908,9085.82,8836.28,0.0282,12,708,0,2024-03-03,2024-04-07,0
lst_000000008,dealer,dlr_000084,Mercedes,diesel,automatic,2021,5,46348,24127.65,23487.16,0.0273,10,692,0,2025-11-14,2025-12-06,0
lst_000000009,dealer,dlr_000229,Opel,diesel,automatic,2023,3,23843,21984.45,21065.35,0.0436,14,79,0,2024-02-27,2024-04-20,0
lst_000000010,dealer,dlr_000169,Fiat,diesel,automatic,2016,10,200891,6044.85,5726.28,0.0556,12,570,1,2024-06-02,2024-06-26,0
lst_000000011,dealer,dlr_000121,Skoda,diesel,manual,2019,7,147790,11470.26,11105.22,0.0329,15,287,0,2024-08-20,2024-09-10,0
lst_000000012,dealer,dlr_000157,Fiat,diesel,automatic,2014,12,216631,4492.14,4620.55,-0.0278,12,648,0,2024-08-02,2024-10-03,0
lst_000000013,private,,Mercedes,petrol,manual,2024,2,35242,30849.74,32239.38,-0.0431,13,902,0,2024-10-20,2024-11-20,0
lst_000000014,dealer,dlr_000120,Mercedes,diesel,automatic,2008,18,300860,3618.19,3521.21,0.0275,16,295,0,2024-09-25,2024-10-23,0
lst_000000015,private,,BMW,petrol,automatic,2019,7,121103,14911.4,16136.66,-0.0759,19,738,0,2024-03-06,2024-04-13,0
lst_000000016,dealer,dlr_000157,Audi,electric,automatic,2010,16,259608,6053.83,5678.97,0.066,15,639,0,2024-10-09,2024-11-02,0
